#cell_line_id	d_cid	log10_conc	ic50
ACH-000371	73759760	-9.862727	0.964
ACH-000578	73759760	-8.908485	1.005
ACH-000311	73759760	-7.954243	0.8235
ACH-000481	73759760	-9.862727	0.999
ACH-000894	73759760	-8.908485	1.183
ACH-000856	73759760	-7.0	-0.044
ACH-000398	73759760	-8.908485	0.992
ACH-000945	73759760	-9.862727	0.992
ACH-000207	73759760	-8.431364	0.762
ACH-000121	73759760	-9.385606	0.978
ACH-000348	73759760	-10.81697	0.902
ACH-000522	73759760	-8.908485	0.994
ACH-000522	73759760	-9.385606	0.989
ACH-000528	73759760	-10.339849	0.957
ACH-000875	73759760	-7.477121	0.329
ACH-000711	73759760	-7.954243	0.603
ACH-000398	73759760	-7.0	-0.159
ACH-000744	73759760	-7.477121	0.84
ACH-000894	73759760	-10.81697	1.108
ACH-000510	73759760	-7.0	0.4325
ACH-000150	73759760	-8.431364	0.896
ACH-000414	73759760	-9.862727	1.004
ACH-000035	73759760	-7.477121	0.597
ACH-000652	73759760	-10.339849	0.973
ACH-000207	73759760	-7.477121	0.102
ACH-000867	73759760	-10.81697	1.02
ACH-000562	73759760	-7.0	0.166
ACH-000357	73759760	-10.339849	1.011
ACH-000747	73759760	-10.339849	1.07
ACH-000273	73759760	-7.954243	0.83
ACH-000660	73759760	-8.908485	0.946
ACH-000826	73759760	-9.862727	0.9365
ACH-000785	73759760	-7.0	-0.664
ACH-000411	73759760	-8.431364	1.032
ACH-000075	73759760	-7.954243	0.914
ACH-000979	73759760	-7.954243	0.336
ACH-000534	73759760	-10.81697	1.019
ACH-000440	73759760	-10.339849	1.026
ACH-000925	73759760	-9.385606	0.9125
ACH-000536	73759760	-8.908485	1.036
ACH-000759	73759760	-9.862727	0.941
ACH-000061	73759760	-9.862727	0.956
ACH-000150	73759760	-9.385606	0.941
ACH-002004	73759760	-7.0	0.159
ACH-000825	73759760	-9.385606	1.01
ACH-000068	73759760	-7.954243	0.98
ACH-000496	73759760	-10.339849	0.883
ACH-000463	73759760	-9.862727	0.957
ACH-000784	73759760	-9.862727	0.972
ACH-000667	73759760	-8.908485	0.967
ACH-000867	73759760	-9.862727	1.009
ACH-000784	73759760	-7.477121	0.282
ACH-000583	73759760	-7.477121	-0.799
ACH-000757	73759760	-9.385606	1.016
ACH-000465	73759760	-7.0	0.394
ACH-000534	73759760	-7.477121	-0.596
ACH-000012	73759760	-10.339849	0.944
ACH-000783	73759760	-7.0	-0.117
ACH-000924	73759760	-8.431364	0.996
ACH-000925	73759760	-9.862727	0.963
ACH-000875	73759760	-9.385606	1.007
ACH-000731	73759760	-10.339849	0.9435
ACH-000589	73759760	-9.862727	0.974
ACH-000652	73759760	-8.908485	1.003
ACH-000510	73759760	-9.385606	0.9550000000000001
ACH-000440	73759760	-7.477121	-0.171
ACH-000980	73759760	-10.339849	0.96
ACH-000861	73759760	-7.477121	0.401
ACH-000288	73759760	-10.81697	1.058
ACH-000068	73759760	-10.81697	0.989
ACH-000589	73759760	-9.385606	0.989
ACH-000398	73759760	-10.81697	0.982
ACH-000667	73759760	-10.339849	0.9319999999999999
ACH-000562	73759760	-8.908485	1.046
ACH-000667	73759760	-7.0	-0.191
ACH-000916	73759760	-7.477121	0.338
ACH-000916	73759760	-10.339849	0.686
ACH-000357	73759760	-8.431364	1.041
ACH-000348	73759760	-7.477121	-0.253
ACH-000578	73759760	-7.0	0.46
ACH-000365	73759760	-8.908485	1.041
ACH-000015	73759760	-8.431364	1.027
ACH-000053	73759760	-8.431364	0.924
ACH-000150	73759760	-8.908485	0.9564999999999999
ACH-000759	73759760	-10.81697	0.948
ACH-000924	73759760	-10.339849	0.945
ACH-000914	73759760	-9.862727	0.986
ACH-000853	73759760	-8.908485	1.01
ACH-000562	73759760	-9.862727	0.964
ACH-000638	73759760	-7.954243	0.611
ACH-000108	73759760	-7.477121	0.413
ACH-000786	73759760	-8.431364	0.662
ACH-000264	73759760	-10.339849	0.971
ACH-000666	73759760	-9.385606	0.892
ACH-000819	73759760	-7.0	-0.105
ACH-000285	73759760	-9.862727	0.984
ACH-000536	73759760	-9.385606	0.942
ACH-001274	73759760	-9.862727	0.923
ACH-000573	73759760	-7.477121	0.361
ACH-000660	73759760	-7.954243	0.241
ACH-000595	73759760	-8.431364	1.009
ACH-000826	73759760	-8.908485	0.9575
